0,1,2,3,4,5,6,7,8,9,10
264.0,193.0,386.0,415.0,203.0,448.0,439.0,924.0,424.0,5415.0,567.0
441.0,274.0,695.0,169.0,222.0,602.0,412.0,408.0,730.0,5180.0,2287.0
246.0,581.0,142.0,129.0,356.0,395.0,125.0,144.0,387.0,2628.0,2840.0
26.0,363.0,657.0,434.0,635.0,794.0,478.0,349.0,835.0,2651.0,9483.0
139.0,74.0,270.0,423.0,333.0,391.0,394.0,342.0,671.0,2763.0,1636.0
81.0,863.0,253.0,395.0,898.0,422.0,212.0,302.0,184.0,3634.0,8898.0
92.0,308.0,94.0,275.0,433.0,479.0,180.0,324.0,740.0,3645.0,3625.0
236.0,776.0,133.0,260.0,676.0,300.0,254.0,228.0,683.0,1726.0,635.0
590.0,757.0,419.0,577.0,222.0,766.0,179.0,600.0,653.0,1358.0,7144.0
190.0,1452.0,90.0,130.0,811.0,417.0,598.0,563.0,600.0,2216.0,6620.0
248.0,311.0,530.0,433.0,533.0,630.0,109.0,447.0,354.0,4215.0,369.0
129.0,202.0,321.0,110.0,69.0,264.0,74.0,136.0,59.0,2926.0,10036.0
324.0,626.0,520.0,276.0,487.0,351.0,269.0,23.0,773.0,4347.0,2220.0
290.0,540.0,107.0,208.0,330.0,621.0,244.0,173.0,147.0,5568.0,3748.0
356.0,349.0,239.0,133.0,1389.0,903.0,189.0,283.0,323.0,250.0,348.0
241.0,638.0,312.0,770.0,100.0,757.0,408.0,238.0,744.0,1126.0,738.0
188.0,199.0,68.0,355.0,206.0,614.0,72.0,546.0,677.0,968.0,4011.0
565.0,1485.0,612.0,298.0,971.0,167.0,430.0,320.0,965.0,2453.0,3156.0
225.0,366.0,409.0,119.0,313.0,197.0,171.0,329.0,275.0,3627.0,5736.0
320.0,111.0,114.0,75.0,65.0,122.0,254.0,98.0,265.0,3786.0,1099.0
248.0,200.0,294.0,182.0,479.0,401.0,193.0,803.0,303.0,2644.0,2124.0
123.0,77.0,82.0,163.0,151.0,131.0,163.0,78.0,132.0,822.0,1781.0
434.0,487.0,453.0,95.0,542.0,238.0,203.0,633.0,157.0,2802.0,1006.0
101.0,167.0,388.0,320.0,164.0,617.0,124.0,75.0,431.0,5284.0,2392.0
496.0,471.0,265.0,414.0,161.0,239.0,154.0,60.0,379.0,3685.0,3021.0
193.0,761.0,94.0,87.0,283.0,743.0,481.0,499.0,248.0,5042.0,3743.0
90.0,908.0,259.0,205.0,286.0,399.0,139.0,309.0,154.0,1340.0,1736.0
226.0,918.0,198.0,183.0,266.0,578.0,140.0,473.0,220.0,3860.0,8330.0
386.0,84.0,266.0,321.0,91.0,227.0,180.0,210.0,326.0,291.0,7951.0
326.0,882.0,682.0,186.0,293.0,408.0,347.0,262.0,369.0,5275.0,1039.0
192.0,624.0,217.0,290.0,300.0,201.0,527.0,288.0,192.0,1954.0,3577.0
367.0,564.0,783.0,339.0,1044.0,552.0,276.0,220.0,281.0,1272.0,1624.0
922.0,274.0,251.0,436.0,653.0,104.0,132.0,233.0,73.0,4018.0,9602.0
268.0,197.0,237.0,313.0,506.0,160.0,505.0,372.0,486.0,2564.0,6327.0
198.0,122.0,247.0,636.0,427.0,187.0,162.0,363.0,635.0,4294.0,3512.0
240.0,256.0,327.0,194.0,108.0,104.0,191.0,269.0,353.0,1786.0,4765.0
142.0,1023.0,273.0,189.0,373.0,779.0,197.0,446.0,246.0,4510.0,9514.0
576.0,855.0,551.0,234.0,778.0,324.0,228.0,135.0,841.0,1974.0,4386.0
189.0,481.0,897.0,166.0,512.0,452.0,524.0,267.0,543.0,5032.0,7796.0
117.0,211.0,100.0,152.0,166.0,126.0,106.0,200.0,161.0,3161.0,2798.0
128.0,766.0,698.0,213.0,326.0,250.0,540.0,321.0,722.0,5375.0,4448.0
140.0,494.0,610.0,119.0,478.0,301.0,382.0,467.0,481.0,2360.0,11499.0
137.0,699.0,361.0,324.0,451.0,367.0,121.0,662.0,800.0,2213.0,815.0
231.0,289.0,240.0,472.0,632.0,1337.0,71.0,552.0,273.0,5537.0,9289.0
188.0,651.0,438.0,328.0,296.0,252.0,194.0,850.0,405.0,4736.0,3650.0
87.0,472.0,253.0,366.0,183.0,243.0,233.0,510.0,818.0,3436.0,15002.0
196.0,364.0,246.0,54.0,512.0,915.0,52.0,255.0,343.0,4774.0,6147.0
221.0,614.0,540.0,273.0,187.0,342.0,216.0,521.0,478.0,4925.0,4550.0
222.0,303.0,622.0,463.0,99.0,386.0,170.0,159.0,165.0,4522.0,11508.0
314.0,256.0,82.0,182.0,353.0,421.0,207.0,735.0,691.0,3084.0,4707.0
96.0,104.0,305.0,59.0,423.0,240.0,14.0,405.0,244.0,4244.0,2276.0
386.0,176.0,199.0,101.0,183.0,400.0,172.0,178.0,234.0,1170.0,1589.0
241.0,122.0,492.0,237.0,759.0,636.0,367.0,118.0,940.0,3753.0,3014.0
68.0,167.0,334.0,100.0,219.0,268.0,131.0,238.0,277.0,825.0,10823.0
