0,1,2,3,4,5,6,7,8,9,10
3560.0,3490.0,2390.0,1330.0,13890.0,9030.0,1890.0,2830.0,3230.0,250.0,348.0
2410.0,6380.0,3120.0,7700.0,1000.0,7570.0,4080.0,2380.0,7440.0,1126.0,738.0
1880.0,1990.0,680.0,3550.0,2060.0,6140.0,720.0,5460.0,6770.0,968.0,4011.0
5650.0,14850.0,6120.0,2980.0,9710.0,1670.0,4300.0,3200.0,9650.0,2453.0,3156.0
2250.0,3660.0,4090.0,1190.0,3130.0,1970.0,1710.0,3290.0,2750.0,3627.0,5736.0
3200.0,1110.0,1140.0,750.0,650.0,1220.0,2540.0,980.0,2650.0,3786.0,1099.0
2480.0,2000.0,2940.0,1820.0,4790.0,4010.0,1930.0,8030.0,3030.0,2644.0,2124.0
1230.0,770.0,820.0,1630.0,1510.0,1310.0,1630.0,780.0,1320.0,822.0,1781.0
4340.0,4870.0,4530.0,950.0,5420.0,2380.0,2030.0,6330.0,1570.0,2802.0,1006.0
1010.0,1670.0,3880.0,3200.0,1640.0,6170.0,1240.0,750.0,4310.0,5284.0,2392.0
4960.0,4710.0,2650.0,4140.0,1610.0,2390.0,1540.0,600.0,3790.0,3685.0,3021.0
1930.0,7610.0,940.0,870.0,2830.0,7430.0,4810.0,4990.0,2480.0,5042.0,3743.0
900.0,9080.0,2590.0,2050.0,2860.0,3990.0,1390.0,3090.0,1540.0,1340.0,1736.0
2260.0,9180.0,1980.0,1830.0,2660.0,5780.0,1400.0,4730.0,2200.0,3860.0,8330.0
3860.0,840.0,2660.0,3210.0,910.0,2270.0,1800.0,2100.0,3260.0,291.0,7951.0
3260.0,8820.0,6820.0,1860.0,2930.0,4080.0,3470.0,2620.0,3690.0,5275.0,1039.0
1920.0,6240.0,2170.0,2900.0,3000.0,2010.0,5270.0,2880.0,1920.0,1954.0,3577.0
3670.0,5640.0,7830.0,3390.0,10440.0,5520.0,2760.0,2200.0,2810.0,1272.0,1624.0
9220.0,2740.0,2510.0,4360.0,6530.0,1040.0,1320.0,2330.0,730.0,4018.0,9602.0
2680.0,1970.0,2370.0,3130.0,5060.0,1600.0,5050.0,3720.0,4860.0,2564.0,6327.0
1980.0,1220.0,2470.0,6360.0,4270.0,1870.0,1620.0,3630.0,6350.0,4294.0,3512.0
2400.0,2560.0,3270.0,1940.0,1080.0,1040.0,1910.0,2690.0,3530.0,1786.0,4765.0
1420.0,10230.0,2730.0,1890.0,3730.0,7790.0,1970.0,4460.0,2460.0,4510.0,9514.0
5760.0,8550.0,5510.0,2340.0,7780.0,3240.0,2280.0,1350.0,8410.0,1974.0,4386.0
1890.0,4810.0,8970.0,1660.0,5120.0,4520.0,5240.0,2670.0,5430.0,5032.0,7796.0
1170.0,2110.0,1000.0,1520.0,1660.0,1260.0,1060.0,2000.0,1610.0,3161.0,2798.0
1280.0,7660.0,6980.0,2130.0,3260.0,2500.0,5400.0,3210.0,7220.0,5375.0,4448.0
1400.0,4940.0,6100.0,1190.0,4780.0,3010.0,3820.0,4670.0,4810.0,2360.0,11499.0
1370.0,6990.0,3610.0,3240.0,4510.0,3670.0,1210.0,6620.0,8000.0,2213.0,815.0
2310.0,2890.0,2400.0,4720.0,6320.0,13370.0,710.0,5520.0,2730.0,5537.0,9289.0
1880.0,6510.0,4380.0,3280.0,2960.0,2520.0,1940.0,8500.0,4050.0,4736.0,3650.0
870.0,4720.0,2530.0,3660.0,1830.0,2430.0,2330.0,5100.0,8180.0,3436.0,15002.0
1960.0,3640.0,2460.0,540.0,5120.0,9150.0,520.0,2550.0,3430.0,4774.0,6147.0
2210.0,6140.0,5400.0,2730.0,1870.0,3420.0,2160.0,5210.0,4780.0,4925.0,4550.0
2220.0,3030.0,6220.0,4630.0,990.0,3860.0,1700.0,1590.0,1650.0,4522.0,11508.0
3140.0,2560.0,820.0,1820.0,3530.0,4210.0,2070.0,7350.0,6910.0,3084.0,4707.0
960.0,1040.0,3050.0,590.0,4230.0,2400.0,140.0,4050.0,2440.0,4244.0,2276.0
3860.0,1760.0,1990.0,1010.0,1830.0,4000.0,1720.0,1780.0,2340.0,1170.0,1589.0
2410.0,1220.0,4920.0,2370.0,7590.0,6360.0,3670.0,1180.0,9400.0,3753.0,3014.0
680.0,1670.0,3340.0,1000.0,2190.0,2680.0,1310.0,2380.0,2770.0,825.0,10823.0
1550.0,5670.0,4530.0,2460.0,1010.0,4540.0,5560.0,1350.0,1510.0,3734.0,863.0
2630.0,4880.0,3770.0,1660.0,3930.0,2370.0,5800.0,3360.0,4740.0,2129.0,2569.0
4910.0,20900.0,3830.0,1760.0,1890.0,4920.0,3460.0,3060.0,4080.0,2571.0,4835.0
1760.0,920.0,1250.0,2220.0,1400.0,1430.0,1950.0,4550.0,1890.0,3676.0,7599.0
